Summary
path index,path_name,distance,free_flow_travel_time(min),path_name,avg_simulated_travel_time(min),avg_sensor_travel_time(min),percentage_difference,avg_time-dependent_error(min),avg_time-dependent_percentage_error ()


Part I,time-dependent travel time
Time,,, 4:00, 4:15, 4:30, 4:45, 5:00, 5:15, 5:30, 5:45, 6:00, 6:15, 6:30, 6:45, 7:00, 7:15, 7:30, 7:45, 8:00, 8:15, 8:30, 8:45, 9:00, 9:15, 9:30, 9:45,
Path 1, ,travel time,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.18,16.99,22.84,28.90,31.48,15.73,11.00,11.00,11.00,11.00,11.00,11.00,

Travel Time Tndex,, 4:00, 4:15, 4:30, 4:45, 5:00, 5:15, 5:30, 5:45, 6:00, 6:15, 6:30, 6:45, 7:00, 7:15, 7:30, 7:45, 8:00, 8:15, 8:30, 8:45, 9:00, 9:15, 9:30, 9:45,
Path 1, ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.02,1.54,2.08,2.63,2.86,1.43,1.00,1.00,1.00,1.00,1.00,1.00,

Part II,link sequence

path_id,path_node_sequence
1,1;3;4;5;6;7;8;9;10;11;12;2;,

path_id,link_sequence_no,from_node_id->to_node_id,from_node_id,to_node_id,name,length,free speed,free-flow travel_time,# of lanes,Lane Saturation Flow Rate,Lane Capacity,Link Type
1,1,"[1,3]",1,3,,1.000,   60,1.000,3, 1800,1900.0,
1,2,"[3,4]",3,4,,1.000,   60,1.000,3, 1800,1800.0,
1,3,"[4,5]",4,5,,1.000,   60,1.000,3, 1800,1800.0,
1,4,"[5,6]",5,6,,1.000,   60,1.000,3, 1800,1800.0,
1,5,"[6,7]",6,7,,1.000,   60,1.000,3, 1800,1800.0,
1,6,"[7,8]",7,8,,1.000,   60,1.000,3, 1800,1800.0,
1,7,"[8,9]",8,9,,1.000,   60,1.000,3, 1800,1800.0,
1,8,"[9,10]",9,10,,1.000,   60,1.000,2, 1800,1800.0,
1,9,"[10,11]",10,11,,1.000,   60,1.000,2, 1800,1800.0,
1,10,"[11,12]",11,12,,1.000,   60,1.000,3, 1800,1800.0,
1,11,"[12,2]",12,2,,1.000,   60,1.000,4, 1800,1800.0,


Part IV
Time,,, 4:00, 4:15, 4:30, 4:45, 5:00, 5:15, 5:30, 5:45, 6:00, 6:15, 6:30, 6:45, 7:00, 7:15, 7:30, 7:45, 8:00, 8:15, 8:30, 8:45, 9:00, 9:15, 9:30, 9:45,
